x y z value
9.765625e-02 9.375000e-02 -3.868237e-07 -1.449166e+00
9.765625e-02 1.875000e-01 -9.486308e-07 -1.354169e+00
9.765625e-02 2.812500e-01 -1.755652e-06 -1.354001e+00
9.765625e-02 3.750000e-01 -2.839320e-06 -1.341680e+00
9.765625e-02 4.687500e-01 -4.236903e-06 -1.366774e+00
9.765625e-02 5.625000e-01 -5.935552e-06 -1.386343e+00
9.765625e-02 6.562500e-01 -7.959622e-06 -1.422307e+00
9.765625e-02 7.500000e-01 -1.052708e-05 -1.448336e+00
9.765625e-02 8.437500e-01 -1.377374e-05 -1.490798e+00
9.765625e-02 9.375000e-01 -1.779745e-05 -1.537947e+00
9.765625e-02 1.031250e+00 -2.261863e-05 1.549991e+00
9.765625e-02 1.125000e+00 -2.879571e-05 1.505075e+00
9.765625e-02 1.218750e+00 -3.644451e-05 1.470428e+00
9.765625e-02 1.312500e+00 -4.671016e-05 1.442207e+00
9.765625e-02 1.406250e+00 -5.955154e-05 1.412476e+00
9.765625e-02 1.500000e+00 -7.457640e-05 1.379798e+00
9.765625e-02 1.593750e+00 -9.030046e-05 1.368773e+00
9.765625e-02 1.687500e+00 -1.085137e-04 1.366039e+00
9.765625e-02 1.781250e+00 -1.282222e-04 1.380493e+00
9.765625e-02 1.875000e+00 -1.502754e-04 1.394805e+00
9.765625e-02 1.968750e+00 -1.737273e-04 1.409964e+00
9.765625e-02 2.062500e+00 -1.947849e-04 1.414424e+00
9.765625e-02 2.156250e+00 -2.123708e-04 1.423710e+00
9.765625e-02 2.250000e+00 -2.256591e-04 1.430065e+00
9.765625e-02 2.343750e+00 -2.363284e-04 1.438909e+00
9.765625e-02 2.437500e+00 -2.470767e-04 1.451754e+00
9.765625e-02 2.531250e+00 -2.611960e-04 1.450765e+00
9.765625e-02 2.625000e+00 -2.779415e-04 1.449885e+00
9.765625e-02 2.718750e+00 -2.985606e-04 1.433965e+00
9.765625e-02 2.812500e+00 -3.196859e-04 1.416497e+00
9.765625e-02 2.906250e+00 -3.378607e-04 1.404052e+00
9.765625e-02 3.000000e+00 -3.526889e-04 1.392944e+00
9.765625e-02 3.093750e+00 -3.591527e-04 1.400053e+00
9.765625e-02 3.187500e+00 -3.612187e-04 1.409776e+00
9.765625e-02 3.281250e+00 -3.591711e-04 1.427660e+00
9.765625e-02 3.375000e+00 -3.560604e-04 1.446437e+00
9.765625e-02 3.468750e+00 -3.568089e-04 1.451920e+00
9.765625e-02 3.562500e+00 -3.602283e-04 1.457381e+00
9.765625e-02 3.656250e+00 -3.680945e-04 1.447152e+00
9.765625e-02 3.750000e+00 -3.762942e-04 1.437487e+00
9.765625e-02 3.843750e+00 -3.800427e-04 1.428901e+00
9.765625e-02 3.937500e+00 -3.747804e-04 1.415639e+00
9.765625e-02 4.031250e+00 -3.598456e-04 1.407493e+00
9.765625e-02 4.125000e+00 -3.350026e-04 1.391069e+00
9.765625e-02 4.218750e+00 -3.069360e-04 1.373312e+00
9.765625e-02 4.312500e+00 -2.788060e-04 1.357719e+00
9.765625e-02 4.406250e+00 -2.491477e-04 1.356174e+00
9.765625e-02 4.500000e+00 -2.213631e-04 1.364414e+00
9.765625e-02 4.593750e+00 -1.911897e-04 1.397262e+00
9.765625e-02 4.687500e+00 -1.624705e-04 1.432501e+00
9.765625e-02 4.781250e+00 -1.379753e-04 1.467943e+00
